player1 clans,player1 is_winner,player1 lvl1_played,player1 lvl2_played,player1 lvl3_played,player1 cards_drawn,player1 cards_captured,player1 cards_destroyed,player1 cards_sacrificed,player1 cards_shifted,player1 force_of_will,player1 activation_tokens,player1 clan_most_played,player1 clan_most_played_last_5_turns,player1 is_first_player,player2 clans,player2 is_winner,player2 lvl1_played,player2 lvl2_played,player2 lvl3_played,player2 cards_drawn,player2 cards_captured,player2 cards_destroyed,player2 cards_sacrificed,player2 cards_shifted,player2 force_of_will,player2 activation_tokens,player2 clan_most_played,player2 clan_most_played_last_5_turns,player2 is_first_player,id,average_rank,creation_time,creation_time_month,creation_time_day,creation_time_year,Abunakkashii,duration_min,clan_passive_1,clan_passive_2,victory_condition,nb_of_rounds,clans_selected_1,clans_selected_2,clans_selected_3,clans_selected_4,clans_selected_5,clans_selected_6,clans_banned_1
["Galmi" "Xi'an" "Justice"],true,8,8,5,33,1,0,10,1,0,2,Galmi,Galmi,false,["Abhilasha" "Narashima" "Tomorrow"],false,13,12,5,39,4,0,4,13,1,3,Abhilasha,Abhilasha,true,489085499,488,Created 03/19/2024 at 10:10,3,19,2024,false,61,Goan-Sul,Phoenix,Controlling 2 Supremacy tokens,2,Abhilasha,Galmi,Xi'an,Narashima,Tomorrow,Justice,Abunakkashii
["Abhilasha" "Narashima" "Tomorrow"],true,7,7,3,22,6,3,6,3,1,2,Abhilasha,Abhilasha,true,["Goan-Sul" "Xi'an" "Phoenix"],false,9,5,1,28,0,1,4,2,0,2,Phoenix,Phoenix,false,497744999,488,Created yesterday at 17:22,true,996,Abunakkashii,Justice,Controlling 2 Supremacy tokens,2,Abhilasha,Goan-Sul,Xi'an,Narashima,Tomorrow,Phoenix,Galmi
["Galmi" "Narashima" "Phoenix"],true,7,7,4,20,0,0,3,2,0,2,Galmi,Galmi,false,["Xi'an" "Goan-Sul" "Tomorrow"],false,8,6,3,23,2,1,3,3,0,3,Xi'an,Goan-Sul,true,495663884,469,Created 04/04/2024 at 13:55,4,4,2024,true,36,Justice,Abunakkashii,Controlling 2 Supremacy tokens,2,Xi'an,Galmi,Narashima,Goan-Sul,Tomorrow,Phoenix,Abhilasha
["Galmi" "Goan-Sul" "Tomorrow"],true,7,5,1,21,2,5,0,2,0,2,Goan-Sul,Goan-Sul,true,["Xi'an" "Narashima" "Phoenix"],false,6,5,2,13,0,0,0,0,0,2,Phoenix,Phoenix,false,491559730,468,Created 03/25/2024 at 11:21,3,25,2024,true,15,Justice,Abunakkashii,Winning a Great Battle by more than 10 points (Goan-Sul),1,Galmi,Xi'an,Narashima,Goan-Sul,Tomorrow,Phoenix,Abhilasha
["Xi'an" "Galmi" "Justice"],true,13,5,3,24,0,0,7,4,0,2,Justice,Justice,false,["Abhilasha" "Narashima" "Phoenix"],false,10,12,5,30,4,2,8,7,1,2,Narashima,Narashima,true,491560456,466,Created 03/25/2024 at 12:21,3,25,2024,false,41,Goan-Sul,Tomorrow,Turn over 3 Clan tiles (Justice),2,Abhilasha,Xi'an,Galmi,Narashima,Phoenix,Justice,Abunakkashii
["Xi'an" "Goan-Sul" "Tomorrow"],true,5,6,2,22,0,2,0,3,0,5,Xi'an,Tomorrow,true,["Galmi" "Abhilasha" "Phoenix"],false,9,4,1,15,2,0,0,4,1,2,Galmi,Galmi,false,495513171,457,Created 04/04/2024 at 02:02,4,4,2024,true,21,Abunakkashii,Justice,Unlocking 5 Activation tokens,1,Xi'an,Galmi,Abhilasha,Goan-Sul,Tomorrow,Phoenix,Narashima
["Xi'an" "Galmi" "Justice"],true,6,6,3,15,1,0,0,3,0,2,Galmi,Justice,false,["Abhilasha" "Tomorrow" "Narashima"],false,7,5,1,25,4,0,0,1,0,2,Abhilasha,Abhilasha,true,498582143,455,Created yesterday at 16:38,true,408,Abunakkashii,Goan-Sul,Winning a Great Battle by more than 10 points (Goan-Sul),1,Abhilasha,Xi'an,Galmi,Tomorrow,Narashima,Justice,Phoenix
["Abhilasha" "Tomorrow" "Narashima"],true,12,11,4,31,5,0,8,10,0,2,Abhilasha,Abhilasha,true,["Xi'an" "Galmi" "Justice"],false,8,9,4,38,0,0,9,3,0,2,Xi'an,Xi'an,false,497702005,454,Created yesterday at 15:07,true,1201,Phoenix,Abunakkashii,Controlling 2 Supremacy tokens,3,Abhilasha,Xi'an,Galmi,Tomorrow,Narashima,Justice,Goan-Sul
["Galmi" "Abhilasha" "Phoenix"],true,13,7,5,30,2,0,0,6,1,2,Galmi,Galmi,false,["Xi'an" "Goan-Sul" "Tomorrow"],false,9,10,3,33,3,4,0,7,0,2,Xi'an,Xi'an,true,492647383,453,Created 03/28/2024 at 00:00,3,28,2024,true,33,Justice,Abunakkashii,Controlling 15 cards face up,1,Xi'an,Galmi,Abhilasha,Goan-Sul,Tomorrow,Phoenix,Narashima
["Abhilasha" "Narashima" "Tomorrow"],true,15,12,3,41,9,1,7,12,2,5,Tomorrow,Tomorrow,true,["Galmi" "Xi'an" "Justice"],false,11,10,4,36,2,0,7,5,1,3,Galmi,Justice,false,491915418,452,Created 03/26/2024 at 07:37,3,26,2024,true,48,Abunakkashii,Goan-Sul,Unlocking 5 Activation tokens,2,Abhilasha,Galmi,Xi'an,Narashima,Tomorrow,Justice,Phoenix
